net,size,logtable,sizetable,logtree,sizetree,loglrdummy,sizelrdummy,logtreedummy,sizetreedummy,  loglgpair,sizelgpair,   logtreepair,sizetreepair,loglgld,sizelgld,  logtreeld,sizetreeld,loglgldpair,sizeldlgpair,logtreeldpair,sizetreeldpair
alarm.bif,5000,-0.8463635071826912,72,-0.8486666518711687,48,-0.9248275550020113,22,-0.849019428727235,36,-0.8942782802062961,29,-0.8471101169660936,33,-0.8467685468810178,40,-0.8473051030277791,27,-0.8465629853522718,43,-0.8473051030277791,27
alarm.bif,5000,-0.35144047505732984,72,-0.3526042031151469,48,-0.42291148905132425,21,-0.353097096151547,48,-0.3572253705451482,26,-0.35240389363150587,36,-0.3499685427514768,44,-0.3504656375117308,24,-0.3499338779756006,47,-0.3504656375117308,24
alarm.bif,5000,-0.8478872026324541,72,-0.8503750268216188,48,-0.9261083009088729,23,-0.8497538217988709,36,-0.8947960483050047,27,-0.8478532873068528,33,-0.8472839255862449,37,-0.8489125090457699,36,-0.8472680894396876,41,-0.8489125090457699,36
alarm.bif,5000,-0.35059694077543363,72,-0.354336704043578,42,-0.42191796089277106,21,-0.3537191531121607,42,-0.3573916636059811,28,-0.35074759287911045,36,-0.3499766989914644,44,-0.3494518614312125,33,-0.3506532192224594,43,-0.350601090019065,30
alarm.bif,5000,-0.8454910208863515,72,-0.8484622915113681,51,-0.9253240503513833,23,-0.8469043949170533,48,-0.892369205439986,29,-0.8458123600456869,36,-0.8448567910293081,50,-0.845836429016092,36,-0.8448440260332333,43,-0.8462159063838364,33
alarm.bif,5000,-0.35121778065586007,72,-0.3518657306955833,51,-0.4228386460279476,23,-0.35190317157259615,51,-0.35846840376451267,30,-0.3511065015045365,42,-0.3504777641548946,42,-0.3522121715719142,30,-0.3504563583176335,42,-0.35204394881249945,30
alarm.bif,5000,-0.8454086973595364,72,-0.8470229096662926,57,-0.9237345992345003,23,-0.8475082408162884,42,-0.888398312909736,30,-0.8456447220843638,39,-0.8454221176866642,37,-0.8448805659228179,39,-0.8452459493710681,39,-0.8454509262037955,33
alarm.bif,5000,-0.351860603649547,72,-0.35294904617889955,51,-0.42411206258901346,25,-0.3532207848605409,48,-0.3584955777689447,30,-0.352378634302611,36,-0.3508074517568521,42,-0.35158252040735577,30,-0.3507544846273781,45,-0.3504924666755032,30
alarm.bif,5000,-0.8468215805597081,72,-0.8478034791600642,57,-0.9254371848588113,23,-0.8469055319109723,45,-0.8897830204541871,29,-0.8459458838931337,36,-0.8460479352896842,42,-0.8466060014141498,30,-0.8458708993138192,43,-0.8456259981012805,30
alarm.bif,5000,-0.350617198028352,72,-0.35346095165953895,45,-0.42470506375228545,23,-0.3531419375035182,45,-0.3581518591163814,25,-0.3516913424024936,39,-0.35091064260811833,38,-0.351016227188598,33,-0.3508281770133335,40,-0.351016227188598,33
